date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_per_sqft,age,renovated
2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,98133,1390,1756,235.2941176470588,19,0
2014-06-24,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,98117,1460,5000,295.06437768240346,95,0
2014-11-10,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,98117,1570,5080,490.8256880733945,95,0
2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,98058,2020,8720,156.55339805825244,43,0
2014-06-13,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,98115,1590,3264,302.60869565217394,94,1
2014-05-28,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,98052,2160,11467,331.32530120481925,91,0
2014-12-30,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,98107,1730,4700,271.1864406779661,120,0
2015-02-13,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,98001,1290,7800,196.72131147540983,55,0
2014-06-20,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,98056,2620,11884,230.91603053435114,28,0
2014-07-15,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,98074,2470,5669,243.19066147859922,24,0
2014-08-11,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,98166,2410,30617,183.64928909952607,40,0
2014-07-07,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,98053,3625,5639,239.77468706536857,10,0
2014-10-28,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,98119,1580,2640,436.30573248407643,102,0
2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,98058,1340,8808,241.40625,65,0
2014-07-18,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,98019,3050,9232,154.43037974683546,21,0
2015-03-25,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,98023,1228,8840,212.6161616161616,58,0
2014-07-16,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,98007,2680,13685,342.7947598253275,43,0
2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,98115,970,5100,360.0,71,0
2015-03-11,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,98070,2680,72513,490.37413730475845,71,0
2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,98148,1190,9364,191.5966386554622,69,0
2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,98056,1990,9133,109.52380952380952,58,0
2014-12-31,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,98117,1410,4080,425.531914893617,74,0
2015-02-05,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,98117,1480,6738,295.45454545454544,43,0
2015-03-03,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,98105,2730,6000,336.996336996337,97,0
2014-05-12,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,98105,1950,5000,312.7208480565371,29,0
2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,98042,2250,4500,130.0,16,0
2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,98042,2690,4750,124.3801652892562,21,0
2014-08-27,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,98008,2960,11044,292.61538461538464,56,0
2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,98059,2270,8542,232.43243243243242,33,0
2014-12-10,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,98166,2570,18900,302.3255813953488,65,0
2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,98148,1290,8750,229.36507936507937,70,0
2014-10-21,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,98166,2500,9500,200.47637951568083,51,0
2014-12-07,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,98115,1580,3090,356.4935064935065,10,0
2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,98122,1440,4080,256.0240963855422,45,0
2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,98144,1440,4000,114.66606498194946,99,0
2014-09-09,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,98004,2750,11049,358.45588235294116,35,0
2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,98001,2221,4557,128.125,19,0
2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,98042,1010,12635,204.0,56,0
2014-06-12,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,98004,3390,20158,414.0625,59,0
2014-09-12,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,98005,3530,38917,218.02935010482182,51,0
2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,98034,1640,4745,257.93650793650795,52,0
2014-06-10,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,98125,1510,7807,207.63636363636363,108,0
2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,98038,2420,5000,151.26050420168067,19,0
2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,98042,1940,50529,194.97206703910615,59,0
2014-11-05,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,98075,3240,35020,242.71137026239066,38,0
2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,98008,1680,7500,215.9090909090909,68,0
2015-04-20,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,98116,890,5060,461.53846153846155,83,0
2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,98133,1130,5693,290.78014184397165,68,0
2015-03-23,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,98010,3350,39750,208.69565217391303,22,0
2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,98038,2350,5363,165.95744680851064,21,0
2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,98038,1870,6405,189.47368421052633,32,0
2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,98118,1720,6720,175.74257425742573,76,0
2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,98059,1850,8797,211.9047619047619,60,0
2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,98125,1570,7203,328.125,72,0
2014-11-14,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,98119,2020,4800,439.25233644859816,99,0
2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,98092,1590,8165,114.66165413533835,63,0
2014-06-18,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,98056,1900,7349,166.4259927797834,18,0
2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,98056,1950,2025,133.54037267080744,45,0
2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,98136,1030,1106,325.24271844660194,18,0
2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,98023,1980,7510,122.97979797979798,36,0
2015-03-11,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,98199,2520,6250,312.46590909090907,23,0
2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,98023,1350,10500,127.5,62,0
2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,98117,1570,4500,272.1518987341772,85,0
2014-12-23,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,98117,1570,4500,443.0379746835443,85,0
2014-09-08,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,98040,1950,6045,274.24242424242425,78,1
2015-03-30,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,98032,1750,15616,126.27551020408163,57,0
2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,98023,1160,6400,171.55172413793105,49,0
2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,98038,1650,135036,173.48066298342542,44,0
2014-05-16,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,98045,2550,35065,188.57758620689654,32,0
2014-06-11,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,98102,2200,4500,411.0289855072464,114,0
2014-10-27,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,98117,1610,3478,280.3030303030303,95,0
2014-12-12,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,98077,2570,47777,319.61187214611874,41,0
2014-10-07,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,98004,2370,8113,372.6027397260274,74,1
2014-09-24,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,98058,1640,14910,239.6694214876033,70,0
2015-04-02,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,98058,2250,8162,160.25641025641025,46,0
2014-05-23,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,98117,1240,4005,275.4491017964072,85,0
2014-07-23,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,98198,1270,4966,152.01612903225808,39,0
2015-03-05,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,98077,2990,35001,216.56050955414014,33,0
2014-08-27,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,98052,2500,9433,231.5270935960591,82,0
2014-07-25,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,98027,1940,9636,258.76623376623377,40,0
2015-03-04,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,98103,1380,3536,452.3809523809524,119,0
2014-09-16,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,98038,1540,11656,176.94805194805195,44,0
2014-11-24,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,98108,2090,5500,158.62980769230768,53,0
2014-10-28,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,98001,2640,8517,148.60681114551085,23,0
2014-11-21,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,98117,1830,6350,169.06392694063928,124,1
2014-06-26,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,98103,1620,3166,326.1006289308176,14,0
2014-06-23,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,98178,1190,6780,233.4375,79,0
2015-01-08,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,98168,1880,9000,109.4267515923567,74,0
2015-05-11,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,98144,1610,4040,332.29813664596276,99,0
2015-01-02,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,98177,2340,10856,275.0,60,0
2014-11-19,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,98034,1580,9104,270.0,37,0
2015-04-06,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,98117,1710,6000,512.987012987013,71,0
2014-11-04,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,98118,1850,4400,211.9047619047619,100,0
2014-06-18,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,98052,2700,13992,264.6048109965636,34,0
2015-03-02,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,98004,3060,11275,527.2727272727273,110,1
2014-07-17,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,98178,2660,8712,211.9047619047619,57,0
2014-07-17,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,98023,2090,8400,120.37037037037037,46,0
2014-06-13,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,98103,1700,4960,354.5258620689655,98,0
2015-04-06,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,98065,1970,3748,207.72946859903382,20,0
2015-01-05,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,98092,1420,7680,200.0,38,0
2015-04-28,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,98027,2060,9793,328.60696517412936,38,0
2014-06-12,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,98052,2480,88500,198.48101265822785,35,0
2014-05-12,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,98029,1690,1662,225.4955223880597,10,0
2015-01-26,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,98107,1540,2285,315.42056074766356,19,0
2014-08-13,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,98003,1550,19265,150.75757575757575,68,0
2014-08-05,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,98003,1750,8140,108.91089108910892,56,0
2014-05-29,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,98028,1550,10436,174.51737451737452,56,0
2014-07-07,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,98125,1060,5715,321.42857142857144,43,0
2014-05-07,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,98107,1350,1310,444.4017094017094,10,0
2014-06-27,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,98119,1170,3600,599.0990990990991,99,0
2014-07-08,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,98006,2820,9375,187.12765957446808,56,0
2015-05-08,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,98058,1610,8579,127.32919254658385,62,0
2015-04-15,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,98133,1560,7940,396.22641509433964,101,0
2015-02-27,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,98006,2230,8824,246.30541871921181,63,0
2014-12-03,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,98077,2840,87991,251.0899182561308,30,0
2014-06-25,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,98109,2200,4000,349.01960784313724,119,0
2014-08-06,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,98027,1940,193842,177.68595041322314,17,0
2014-10-30,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,98032,1360,18000,114.15929203539822,64,0
2014-11-04,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,98103,1450,4599,357.34265734265733,77,0
2014-08-20,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,98103,1500,3090,391.3014705882353,34,0
2015-04-09,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,98107,1420,5000,504.5045045045045,77,0
2015-03-31,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,98003,1680,8633,226.36,70,0
2015-04-01,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,98006,3160,9750,434.36293436293437,18,0
2014-05-16,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,98115,1010,5100,500.0,82,0
2014-07-28,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,98058,1190,7669,182.20338983050848,57,0
2014-11-20,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,98056,2640,13675,164.14141414141415,28,0
2014-08-07,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,98023,1980,7875,121.21212121212122,57,0
2014-11-13,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,98022,1160,7198,194.48818897637796,108,1
2014-10-03,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,98059,1730,11180,181.8181818181818,56,0
2014-05-07,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,98146,1010,11680,123.7864077669903,62,0
2015-03-09,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,98034,1200,9660,246.06741573033707,62,0
2015-03-04,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,98075,3400,12601,264.70588235294116,24,0
2014-06-20,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,98034,1710,8152,230.89005235602093,45,0
2014-08-12,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,98027,2110,36590,207.92079207920793,49,0
2014-12-08,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,98034,1640,7500,234.1772151898734,48,0
2015-02-19,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,98198,1830,9750,201.455223880597,75,0
2015-03-24,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,98006,2920,4500,301.15671641791045,25,0
2014-06-05,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,98034,2480,8750,243.65671641791045,45,0
2014-06-11,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,98133,1770,7288,271.1678832116788,60,0
2015-03-16,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,98166,1070,7920,182.05128205128204,70,0
2015-01-02,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,98023,1930,7350,125.92592592592592,46,0
2014-05-02,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,98133,1480,7940,233.5820895522388,69,0
2015-01-16,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,98033,3740,35230,236.46907216494844,40,0
2014-09-29,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,98006,2260,8335,259.8455598455598,44,0
2015-02-10,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,98122,1590,1795,379.4642857142857,16,0
2014-07-09,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,98144,1280,2150,203.0203045685279,38,0
2014-05-30,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,98122,1200,4800,315.57377049180326,123,0
2014-11-17,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,98022,1950,8941,138.43589743589743,49,0
2015-01-07,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,98177,1540,8280,244.44444444444446,75,0
2014-07-25,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,98030,1670,6183,155.688622754491,36,0
2015-04-14,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,98126,1410,5375,197.47899159663865,99,0
2014-06-13,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,98034,2290,9600,241.39344262295083,63,0
2014-07-23,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,98038,1050,3417,155.71428571428572,28,0
2014-09-05,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,98052,2260,9984,266.77316293929715,31,0
2014-11-21,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,98033,2540,10270,267.72616136919316,38,0
2015-04-15,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,98023,2190,8910,180.53691275167785,55,0
2014-05-05,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,98074,2030,8744,294.7368421052632,37,0
2015-04-18,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,98103,1330,4400,462.406015037594,123,0
2014-12-05,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,98052,2230,9340,262.41614349775784,49,0
2014-08-18,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,98034,1540,8400,184.84848484848484,47,0
2014-11-05,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,98058,1230,7980,140.2941176470588,65,0
2014-09-12,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,98040,2680,10083,373.3644859813084,65,0
2014-06-25,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,98133,1900,7818,183.4862385321101,62,0
2014-12-01,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,98155,1570,10228,216.9811320754717,76,0
2014-05-15,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,98023,2550,5001,152.00177514792898,21,0
2014-11-11,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,98108,1500,6480,214.72081218274113,104,0
2014-07-23,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,98126,1750,2385,216.27906976744185,17,0
2015-01-13,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,98024,2330,67268,230.36649214659687,27,0
2014-10-14,385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1969,98038,1560,50965,285.18518518518516,55,0
2015-03-11,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,98056,1300,9514,244.1860465116279,81,0
2014-11-12,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,98042,2030,10450,153.09278350515464,30,0
2014-07-16,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,98107,1680,5000,465.34653465346537,72,0
2014-08-04,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,98023,1430,7500,174.23076923076923,48,0
2015-03-03,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,98059,1400,8040,301.3736263736264,62,0
2014-08-04,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,98040,2770,10744,338.7096774193548,58,0
2014-09-19,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,98052,2750,4587,277.827868852459,14,0
2015-02-05,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,98116,1290,5000,420.7920792079208,109,0
2014-11-23,180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0,1941,98166,1250,14280,200.27777777777777,83,0
2014-07-17,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,98133,1560,1312,201.7391304347826,104,1
2015-04-22,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1993,98038,1630,6397,206.4516129032258,31,0
2014-07-17,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,98105,1160,1327,492.52283464566926,10,0
2014-05-15,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,1983,98074,2520,12368,264.50892857142856,41,0
